N,DURATION,COMPILER_LINES,SPEED
1,246,31332,4.06504065
11,304,39759,36.18421053
21,399,41323,52.63157895
31,440,45792,70.45454545
41,446,48737,91.92825112
51,577,54757,88.3882149
61,588,60298,103.7414966
71,535,63275,132.7102804
81,610,63880,132.7868852
91,751,66339,121.171771
101,734,67144,137.6021798
111,730,68001,152.0547945
121,852,70799,142.0187793
131,897,72446,146.0423634
141,759,70864,185.770751
151,906,72357,166.6666667
161,765,74315,210.4575163
171,758,77073,225.5936675
181,891,75189,203.1425365
191,838,77060,227.9236277
201,896,79101,224.3303571
211,874,79316,241.4187643
221,799,79478,276.5957447
231,802,80075,288.0299252
241,829,81048,290.7117008
251,856,81439,293.2242991
261,856,86209,304.9065421
271,960,89184,282.2916667
281,1061,91099,264.8444863
291,1037,92257,280.6171649
301,998,93483,301.6032064
311,1065,95204,292.0187793
321,1112,96738,288.6690647
331,1120,97106,295.5357143
341,1221,97261,279.2792793
351,1246,97360,281.7014446
361,1262,98265,286.0538827
371,1013,98224,366.2388944
381,1120,100590,340.1785714
391,1209,101128,323.407775
401,1027,100604,390.4576436
411,1067,100611,385.1921275
421,1215,101149,346.5020576
431,1069,100538,403.1805426
441,1098,101457,401.6393443
451,1089,101537,414.1414141
461,1102,101170,418.3303085
471,1273,101851,369.9921445
481,1448,103204,332.1823204
491,1320,103189,371.969697
501,1720,103704,291.2790698
511,1428,104328,357.8431373
521,1205,105175,432.3651452
531,1319,108486,402.5777104
541,1373,108065,394.0276766
551,1260,109163,437.3015873
561,1297,110713,432.536623
571,1369,105452,417.0927684
581,1307,106392,444.5294568
591,1276,110297,463.1661442
601,1325,110141,453.5849057
611,1303,110178,468.9178818
621,1304,110532,476.2269939
631,1302,107268,484.6390169
641,1371,111723,467.5419402
651,1450,112617,448.9655172
661,1521,112394,434.5825115
671,1658,113056,404.7044632
681,1829,113019,372.3346091
691,2115,114674,326.713948
701,1978,116784,354.3983822
711,1681,117343,422.9625223
721,1794,118163,401.8952062
731,1820,118962,401.6483516
741,1712,117491,432.8271028
751,1697,119064,442.5456688
761,1805,120927,421.6066482
771,1789,120594,430.9670207
781,1762,125318,443.246311
791,1760,120547,449.4318182
801,1791,120419,447.2361809
811,1813,120884,447.3248759
821,1881,121575,436.4699628
831,1783,122229,466.068424
841,1651,122996,509.3882495
851,1623,123505,524.3376463
861,1651,122912,521.5021199
871,1680,122251,518.452381
881,1708,123808,515.8079625
891,1695,122720,525.6637168
